id_municipio,nome_municipio,sigla_uf,bioma_predominante,n_focos,risco_fogo_medio,frp_medio,dias_sem_chuva_medio,precipitacao_media,centroide_lat,centroide_lon
3117306,Conceição das Alagoas,MG,Cerrado,699,0.7913,42.302,16.31,0.947,-19.892933,-48.293824
1200435,Santa Rosa do Purus,AC,Amazônia,699,0.4737,19.361,4.80,0.910,-9.305012,-70.266217
1502756,Concórdia do Pará,PA,Amazônia,697,0.2474,11.187,3.37,2.625,-1.846670,-47.965081
2208007,Picos,PI,Caatinga,695,0.9829,14.156,55.65,0.272,-7.030414,-41.526021
1501451,Belterra,PA,Amazônia,695,0.2447,14.680,2.54,1.945,-3.118515,-54.929942
2612455,Santa Cruz,PE,Caatinga,693,0.9895,44.724,42.15,0.133,-8.298447,-40.325912
2401453,Baraúna,RN,Caatinga,689,0.8936,8.436,23.93,0.281,-5.127695,-37.642061
2209153,Santa Cruz dos Milagres,PI,Caatinga,689,0.9912,49.647,38.81,0.093,-6.006931,-41.923324
1508357,Vitória do Xingu,PA,Amazônia,688,0.6928,16.296,4.58,1.302,-3.092488,-51.977333
3539608,Planalto,SP,Mata Atlântica,687,0.9446,57.273,4.03,0.246,-21.005918,-50.008484
2300200,Acaraú,CE,Caatinga,685,0.8440,13.589,43.89,0.192,-2.990604,-40.082645
2313401,Tianguá,CE,Caatinga,683,0.9391,28.531,53.12,0.098,-3.716273,-41.004758
3137536,Lagoa Grande,MG,Cerrado,683,0.8762,58.483,18.28,0.324,-17.618358,-46.515991
3128600,Guarda-Mor,MG,Cerrado,682,0.8968,28.998,11.62,0.210,-17.764582,-47.157962
1708304,Goianorte,TO,Cerrado,679,0.7351,22.600,22.64,0.945,-8.905388,-48.953042
2106409,Mata Roma,MA,Cerrado,678,0.7855,36.617,14.05,0.307,-3.611321,-43.208666
2201408,Barro Duro,PI,Caatinga,675,0.9870,17.936,15.39,0.098,-5.792067,-42.505726
2614006,Serrita,PE,Caatinga,673,0.9513,32.150,40.35,0.112,-7.819533,-39.399330
5101852,Bom Jesus do Araguaia,MT,Cerrado,672,0.7102,36.693,13.71,0.842,-12.205288,-51.560794
1503002,Faro,PA,Amazônia,671,0.2561,41.529,3.38,0.816,-1.976418,-56.800853
2211100,União,PI,Cerrado,671,0.8902,33.805,12.69,0.367,-4.666743,-42.841138
2210003,São João do Piauí,PI,Caatinga,669,0.8881,16.039,29.71,0.308,-8.231328,-42.332966
5108055,Terra Nova do Norte,MT,Amazônia,668,0.8422,29.340,28.01,0.925,-10.562627,-54.946861
3204906,São Mateus,ES,Mata Atlântica,666,0.7014,10.512,9.93,0.204,-18.750527,-40.017420
4202503,Bom Jardim da Serra,SC,Mata Atlântica,665,0.0961,7.013,3.17,0.205,-28.387785,-49.645776
2919801,Macaúbas,BA,Caatinga,664,0.8383,25.797,16.84,0.181,-13.114692,-42.642371
3101003,Águas Vermelhas,MG,Mata Atlântica,664,0.8501,25.008,63.26,0.246,-15.640665,-41.534755
1200179,Capixaba,AC,Amazônia,664,0.4042,17.853,3.70,1.292,-10.428053,-67.887095
5108857,Nova Marilândia,MT,Amazônia,662,0.5246,21.288,9.86,1.463,-14.246694,-57.434442
2926004,Remanso,BA,Caatinga,661,0.8877,10.465,10.36,0.584,-9.695588,-42.270371
2206357,Milton Brandão,PI,Caatinga,661,0.9888,17.091,18.35,0.024,-4.668378,-41.485402
2313351,Tejuçuoca,CE,Caatinga,661,0.9854,23.701,72.64,0.134,-3.913357,-39.568507
1719004,Santa Tereza do Tocantins,TO,Cerrado,661,0.6621,15.230,17.65,0.506,-10.323482,-47.733856
1300680,Boa Vista do Ramos,AM,Amazônia,661,0.2159,12.983,2.64,1.358,-3.115861,-57.708900
1507508,São João do Araguaia,PA,Amazônia,661,0.8800,38.890,4.92,0.660,-5.441073,-48.790117
2930303,Serra Dourada,BA,Cerrado,660,0.7336,45.086,8.70,0.355,-12.815358,-43.784780
2306108,Irauçuba,CE,Caatinga,660,0.9811,15.556,74.95,0.096,-3.794846,-39.841547
5005806,Nioaque,MS,Cerrado,659,0.6209,5.677,6.42,0.506,-21.122402,-55.902618
2201960,Brasileira,PI,Caatinga,657,0.9238,22.689,21.14,0.106,-4.139509,-41.633562
2110039,Santa Luzia do Paruá,MA,Amazônia,656,0.9057,40.909,4.94,0.457,-2.494711,-45.749485
2303204,Caririaçu,CE,Caatinga,656,0.9637,22.664,21.23,0.064,-7.012097,-39.262751
4203253,Capão Alto,SC,Mata Atlântica,656,0.0421,8.110,3.91,0.359,-28.073127,-50.580624
2908705,Condeúba,BA,Caatinga,654,0.9604,57.216,29.47,0.161,-14.927326,-42.055543
5210109,Ipameri,GO,Cerrado,648,0.7063,15.007,12.51,0.482,-17.399206,-47.915095
5213707,Montes Claros de Goiás,GO,Cerrado,647,0.7705,48.784,25.50,0.498,-15.776677,-51.696290
3162500,São João del Rei,MG,Mata Atlântica,645,0.8293,10.008,10.14,1.307,-21.243273,-44.258146
3157005,Salinas,MG,Mata Atlântica,645,0.7516,11.585,49.91,0.740,-16.103743,-42.161364
1720259,São Salvador do Tocantins,TO,Cerrado,643,0.5428,16.238,8.44,1.560,-12.596494,-48.332871
2209302,Santa Luz,PI,Cerrado,642,0.7918,31.904,12.79,0.341,-8.984068,-44.159997
4200408,Água Doce,SC,Mata Atlântica,639,0.3473,10.118,5.31,0.207,-26.717795,-51.626938
5204409,Caiapônia,GO,Cerrado,638,0.7101,10.584,8.90,1.050,-17.008445,-51.872814
2107001,Montes Altos,MA,Cerrado,638,0.6651,23.171,9.04,0.861,-5.856219,-47.043263
2305605,Independência,CE,Caatinga,636,0.9737,19.980,63.97,0.071,-5.484752,-40.394637
2914703,Itaberaba,BA,Caatinga,635,0.9192,7.436,27.42,0.140,-12.449493,-40.274875
2907400,Catolândia,BA,Cerrado,635,0.9506,52.152,34.68,0.137,-12.274158,-44.636827
1702703,Aurora do Tocantins,TO,Cerrado,635,0.9023,10.752,16.92,0.840,-12.702715,-46.353562
5003488,Dois Irmãos do Buriti,MS,Cerrado,634,0.5583,39.245,6.16,0.923,-20.449141,-55.437472
3167202,Sete Lagoas,MG,Cerrado,634,0.8994,9.830,12.75,0.519,-19.444171,-44.266163
3132107,Itacarambi,MG,Cerrado,634,0.9517,34.354,20.16,0.283,-15.181253,-44.105049
